13.107.3.128,192.168.2.130,91125,443,1551855732
192.168.2.94,239.255.255.250,12,80,1551891593
192.168.2.102,216.58.197.33,7126,80,1551800643
192.168.2.153,23.78.216.15,91178,443,1551873499
192.168.2.77,139.7.117.240,5178,0,1551900405
192.168.2.96,157.240.25.12,91143,443,1551918035
192.168.2.96,157.240.24.55,91143,0,1551940452
192.168.2.247,13.107.6.254,5212,443,1551877876
192.168.2.176,172.217.20.98,91126,443,1551896396
192.168.2.89,40.126.17.129,91212,443,1551934039
192.168.2.94,52.114.158.91,91212,443,1551921236
65.55.44.109,192.168.2.193,91212,0,1551896396
192.168.2.106,40.100.140.2,91219,443,1551936458
192.168.2.101,172.82.241.225,91212,443,1551929220
40.100.140.18,192.168.2.89,91212,443,1551934039
192.168.2.9,239.255.255.250,5,0,1551839614
192.168.2.61,54.225.191.68,91239,0,1551938062
192.168.2.78,130.211.234.3,91212,0,1551786046
192.168.2.193,172.217.167.131,7126,80,1551938062
192.168.2.87,34.214.146.71,91212,0,1551931630
104.122.104.224,192.168.2.101,70,80,1551907623
192.168.2.62,104.82.232.254,91219,443,1551881976
192.168.2.130,169.55.111.99,91212,443,1551924432
192.168.2.248,239.255.255.253,9,427,1551898015
192.168.2.106,52.49.163.13,7178,80,1551883590
192.168.2.104,111.221.29.254,91212,443,1551926825
192.168.2.126,52.114.128.9,91212,443,1551924432
192.168.2.9,52.218.204.67,7178,80,1551839614
52.114.77.33,192.168.2.135,91212,0,1551935654
192.168.2.57,20.190.140.49,91212,443,1551898804
192.168.2.114,47.75.43.33,5212,0,1551816068
192.168.2.164,64.233.176.94,188126,0,1551858961
192.168.2.143,224.0.0.251,8,53,1551870793
192.168.2.77,67.231.251.190,5239,443,1551843654
192.168.2.101,172.217.164.99,188,0,1551867943
192.168.2.253,213.254.244.16,91147,443,1551783679
151.101.61.108,192.168.2.77,91120,0,1551847735
192.168.2.119,159.89.162.49,91124,443,1551940452
192.168.2.2,192.168.2.51,18,443,1551940452
fe80::c4a0:5d99:dcb7:affc,ff02::0001:0003,154,53,1551939663
192.168.2.203,54.36.108.171,5,443,1551868923
192.168.2.9,172.217.166.163,188,0,1551937252
192.168.2.77,23.78.217.3,5120,0,1551936458
157.240.25.20,192.168.2.95,0,0,1551849337
192.168.2.9,172.217.160.173,188126,0,1551898804
